"title","writer","page","price"
"세상에서 제일 친절한 엑셀","박재영 ",384,14400
"신경망 첫걸음","타리크 라시드 ",296,22500
"Hello Coding 그림으로 개념을 이해하는 알고리즘","아디트야 바르가바 ",328,19800
"러닝 PHP","데이비드 스클라 ",500,28800
"리버스 엔지니어링 2권(디버거 편)","이호동 ",1396,63000
"마이크로서비스 아키텍처 구축","샘 뉴먼 ",340,23400
"코드로 인프라 관리하기","키프 모리스 ",400,28800
"하둡 완벽 가이드(4판)","톰 화이트 ",876,49500
"만들면서 배우는 스파인 2D 게임 애니메이션","이동연 ",276,22500
"유니티로 게임을 만드는 10가지 방법","가토 마사키 ",508,30600
"좋은 사진을 만드는 정승익의 사진 노출 (전면개정판)","정승익 ",332,19800
"밑바닥부터 시작하는 딥러닝","사이토 고키 ",312,21600
"The Nature of Software Development","론 제프리스 ",192,14400
"딥러닝 첫걸음","김성필 ",196,16200
"오라클 레벨업","스즈키 겐고 , 다마오키 다케히로 , 시오바라 고타 , 고바야시 오사무 , 오모리 신지 , 우치무라 도모아키 ",440,28800
"그레이들 레시피","켄 커즌 ",172,16200
"행복한 프로그래밍(개정판)","임백준 ",300,14400
"만약 헤밍웨이가 자바스크립트로 코딩한다면","앵거스 크롤 ",196,17100
"누구나 쉽게 스칼라+플레이","고락윤 ",388,21600
"디자인 굿즈 만들기 with 포토샵&일러스트레이터","김신애 ",392,19800
"헤드 퍼스트 대수학 Head First Algebra","댄 필로네 , 트레이시 필로네 ",564,28800
"회사에서 바로 통하는 엑셀 파워포인트 워드 2016 한글 NEO + 원노트","전미진 , 이화진 , 신면철 ",760,15300
"데이터베이스 첫걸음","미크 , 기무라 메이지 ",312,18900
"백만 방문자와 소통하는 페이스북 마케팅","종유진 , 최규문 ",361,13500
"오픈스택 인 액션","코디 범가드너 ",476,28800
"엑셀 2016 바이블","최준선 ",1092,32400
"회사에서 바로 통하는 엑셀 파워포인트 워드 2016 + 원노트","전미진 , 이화진 , 신면철 ",620,14400
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV4. 파이썬 프로그래밍 아트","크리스 로피 ",104,9000
"리버스 엔지니어링 1권(파일 구조 편)","이호동 ",848,54000
"텐서플로 첫걸음","조르디 토레스 ",180,14400
